iter	Logloss
0	0.6663952897
1	0.64106682
2	0.6165919243
3	0.5917093711
4	0.5835681066
5	0.5650855944
6	0.5608172431
7	0.5440446362
8	0.5306569694
9	0.5219085107
10	0.5123944235
11	0.4996489848
12	0.4851858045
13	0.4707275406
14	0.4632929809
15	0.445343145
16	0.432153508
17	0.4238498715
18	0.4187263254
19	0.416522779
20	0.4042721991
21	0.3963524452
22	0.3880636722
23	0.3792322492
24	0.3689135934
25	0.3665962058
26	0.358784548
27	0.3538931812
28	0.346493592
29	0.344096271
30	0.3380963232
31	0.3331252042
32	0.3305797633
33	0.3294531815
34	0.3273346258
35	0.3224623163
36	0.3177546289
37	0.312172232
38	0.3054947364
39	0.3012573808
40	0.2956480587
41	0.2956479313
42	0.2917204294
43	0.2881349457
44	0.2805997507
45	0.2749613373
46	0.2694767729
47	0.2666334052
48	0.2619905452
49	0.2579054325
50	0.2532212953
51	0.2498625158
52	0.2478602602
53	0.2454051574
54	0.2413322592
55	0.2371602033
56	0.2329310768
57	0.2277634822
58	0.2252728816
59	0.2200918138
60	0.2161664185
61	0.2120004355
62	0.2109457586
63	0.209374818
64	0.2061109705
65	0.2055507986
66	0.2054552807
67	0.202636153
68	0.2003290427
69	0.2001533272
70	0.1958849561
71	0.1934198231
72	0.1914899913
73	0.1890171041
74	0.1882975115
75	0.1862451051
76	0.1825623902
77	0.1792905379
78	0.1778523909
79	0.1756229018
80	0.1747222786
81	0.1732669269
82	0.1716342675
83	0.1690366607
84	0.1689542258
85	0.1672370463
86	0.1656024493
87	0.1653103045
88	0.164219843
89	0.1642189046
90	0.1613590514
91	0.1601247073
92	0.1584994504
93	0.1576862765
94	0.1549266734
95	0.152766588
96	0.1514910385
97	0.1505134281
98	0.1492977634
99	0.1480402933
100	0.1461474663
101	0.1444722588
102	0.1426882502
103	0.1412672468
104	0.1384037978
105	0.1370714245
106	0.1365143892
107	0.1356135896
108	0.1336696392
109	0.1329983782
110	0.1318721963
111	0.1295000294
112	0.1281903245
113	0.1273938754
114	0.1249914189
115	0.1239201256
116	0.1231245982
117	0.121937731
118	0.1205438769
119	0.1197367311
120	0.1188864113
121	0.1168939718
122	0.1153578875
123	0.1130569907
124	0.1122624832
125	0.1104835272
126	0.1099394822
127	0.109013442
128	0.1079473716
129	0.1066648996
130	0.1062765501
131	0.1043781296
132	0.1036715842
133	0.1015939499
134	0.1011041684
135	0.1000387142
136	0.09941211543
137	0.0984821261
138	0.09693025164
139	0.09684167583
140	0.09653502061
141	0.09535390043
142	0.09480068633
143	0.09400077427
144	0.09343760621
145	0.09202787862
146	0.09195440726
147	0.0916858585
148	0.09075560779
149	0.09059945293
150	0.09056909111
151	0.08970223955
152	0.0889145561
153	0.08830183932
154	0.08770318885
155	0.08712700894
156	0.08649526631
157	0.08606011872
158	0.08547464381
159	0.08430107438
160	0.08370796053
161	0.08310435347
162	0.08306845564
163	0.08255754427
164	0.08210454065
165	0.08126856517
166	0.08015925402
167	0.08011689898
168	0.07922425973
169	0.0788677665
170	0.07859786501
171	0.07794734657
172	0.07711307273
173	0.07631088045
174	0.07557862649
175	0.07432866276
176	0.07329201517
177	0.0728207306
178	0.07191602259
179	0.07117651425
180	0.07062990718
181	0.07020825424
182	0.06934602252
183	0.06865969038
184	0.06794007769
185	0.06730409442
186	0.06682659809
187	0.06628187594
188	0.06583456934
189	0.06522216851
190	0.06458211275
191	0.0644853737
192	0.06370437837
193	0.06356697317
194	0.06319279238
195	0.06248419804
196	0.062062622
197	0.06161430446
198	0.06130323934
199	0.06036718611
200	0.05997594478
201	0.05950510561
202	0.05914319369
203	0.0587373891
204	0.05822474455
205	0.05748876707
206	0.05719144895
207	0.05674212234
208	0.05641374246
209	0.05590440783
210	0.05547620087
211	0.05515514579
212	0.05488402848
213	0.05441700618
214	0.05403892094
215	0.05374425485
216	0.053561424
217	0.053352784
218	0.05299314265
219	0.05265632997
220	0.05242761076
221	0.05219394197
222	0.05174204024
223	0.05152197031
224	0.05125254447
225	0.05084250795
226	0.05083709476
227	0.05044317038
228	0.05028662802
229	0.04983282514
230	0.04956427901
231	0.04939681131
232	0.04907482953
233	0.04887434638
234	0.04862670343
235	0.04842889894
236	0.04808801602
237	0.04763940288
238	0.04742159887
239	0.04707372381
240	0.04698732818
241	0.04686731209
242	0.04653292931
243	0.04603856854
244	0.04602197569
245	0.04573176554
246	0.04551570801
247	0.04534802076
248	0.04496153378
249	0.04478936089
250	0.04442243937
251	0.04402405955
252	0.04368176976
253	0.04335080435
254	0.0431448007
255	0.04294542484
256	0.04275685301
257	0.04247286079
258	0.0422830307
259	0.04212738824
